split,model,auc,ks
train pool,logistic_regression,0.873923938488264,0.5952380335420087
train pool,lightgbm,0.8919624455742126,0.6284335911846013
"test (2022, held out)",logistic_regression,0.7554610016357843,0.3949342238376903
"test (2022, held out)",lightgbm,0.7698129328838433,0.4274115616552022
