n,mean_predicted,mean_actual
4519,0.0008,0.0022
4519,0.0019,0.0051
4519,0.0032,0.0073
4519,0.0048,0.0062
4519,0.0069,0.0115
4518,0.0098,0.0144
4519,0.0139,0.0199
4519,0.0207,0.0312
4519,0.0328,0.0427
4519,0.0752,0.071
